,Cuit,Empresa / Razón Social,Región,Provincia,Localidad,Número De Acto,Fecha Del Acto Administrativo,Fecha En Boletín Oficial,tamaño
0,30715253727,Brave New Technology SRL,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,533E,15/8/2018,16/8/2018,
1,30712485546,Bright Sector SRL,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,99,13/8/2015,20/8/2015,
2,30708928387,Bsf SA,Cuyo,Mendoza,Chacras De Coria,155,17/11/2015,23/11/2015,
3,30651515897,Btb Soft SA,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,7,29/2/2016,3/4/2016 00:00,
4,30607986289,Buenosaires Software SA,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,41,15/6/2016,22/6/2016,
5,30618539225,Buffa Sistemas SRL,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,557E,15/8/2018,17/8/2018,
6,30706053812,Bumeran.Com Argentina SA,Pampeana,Ciudad Autonoma De Buenos Aires,Ciudad Autonoma De Buenos Aires,65 E,26/6/2017,28/6/2017,
7,30707277285,Business Development Facilities SA,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,29,31/5/2016,3/6/2016,
8,30708161485,Business Vision SA,Pampeana,Ciudad Autonoma De Buenos Aires,Ciudad Autonoma De Buenos Aires,93,20/9/2016,28/9/2016,
9,30623373084,C Y S Informatica SA,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,50,6/1/2015 00:00,6/5/2015 00:00,
10,30638247913,C Y T Comunicaciones Y Telematica SRL,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,118,9/11/2015 00:00,18/9/2015,
11,30685816179,C-Net SRL,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,175E,21/5/2018,23/5/2018,
12,30709998796,Carena Sistemas SRL,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,16E,30/1/2018,2/1/2018 00:00,
13,30691595729,Cda Tecnologia Informatica SA,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,51,6/1/2015 00:00,6/8/2015 00:00,
14,30712526579,Cdss SA,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,164,23/11/2015,30/11/2015,
15,30714769061,Celerative SRL,Pampeana,Buenos Aires,La Plata,79 E,8/3/2017 00:00,8/7/2017 00:00,
16,30560577601,Censys SA,Noroeste,Tucuman,Yerba Buena,11,10/6/2016 00:00,10/12/2016 00:00,
17,30707061010,Certant SA,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,12,3/6/2015 00:00,3/12/2015 00:00,
18,30684641502,Chess Desarrollos Informaticos SRL,Pampeana,Santa Fe,Rosario,5,18/2/2016,24/2/2016,
