id,genero,roles_nucleo,cantidad_estudios,orientacion_software,anios_estudio,rol_ocupacional,grupo_ocupacional,anios_laborales,periodos_desempleo,tiempo_desempleo,cantidad_puestos_total,cantidad_empresas_total,movilidad,reporta_ingles,rango_habilidades,rango_herramientas,caracteres_descripcion
1,1,0,2,0,11.8,Administración,Decisión y apoyo,12.7,2,> 1 año,9,5,0.7,0,20 a 24,1 a 4,0
2,1,0,0,0,0,Administración,Decisión y apoyo,8,1,> 1 año,7,5,0.9,0,25 o más,0,0
3,1,0,5,0,0,Administración,Decisión y apoyo,4.7,0,0,1,1,0.2,0,0,0,0
4,1,0,2,0,7,Administración,Decisión y apoyo,8.7,1,> 1 año,7,5,0.8,0,20 a 24,5 a 9,419
5,0,0,3,0,2.8,Administración,Decisión y apoyo,7,1,> 1 año,6,4,0.9,1,5 a 9,1 a 4,0
6,1,0,0,0,0,Administración,Decisión y apoyo,21.7,4,> 1 año,7,7,0.3,1,20 a 24,1 a 4,0
7,0,0,1,0,0,Administración,Decisión y apoyo,0,0,0,2,1,,0,0,0,0
8,0,0,2,0,7.5,Administración,Decisión y apoyo,3.5,1,1 a 3,3,3,0.9,1,20 a 24,1 a 4,224
9,1,0,2,0,6.6,Administración,Decisión y apoyo,9.1,0,0,6,1,0.7,1,25 o más,1 a 4,0
10,1,0,1,0,2.9,Administración,Decisión y apoyo,13.6,1,4 a 6,5,3,0.4,1,5 a 9,1 a 4,403
11,0,0,2,0,5.8,Administración,Decisión y apoyo,2,1,> 1 año,4,3,2,0,0,0,0
12,0,0,4,0,10.7,Administración,Decisión y apoyo,7.8,0,0,3,2,0.4,1,10 a 14,1 a 4,0
13,0,0,0,0,0,Administración,Decisión y apoyo,10.5,3,> 1 año,10,7,1,1,25 o más,5 a 9,910
14,1,0,1,0,5.9,Administración,Decisión y apoyo,13.8,0,0,3,2,0.2,1,20 a 24,1 a 4,826
15,1,0,0,0,0,Administración,Decisión y apoyo,1,1,> 1 año,3,2,3,0,0,0,0
16,1,0,0,0,0,Administración,Decisión y apoyo,37.7,3,> 1 año,12,9,0.3,0,5 a 9,1 a 4,0
17,1,0,4,0,6.7,Administración,Decisión y apoyo,22.7,1,7 a 12,8,5,0.4,1,15 a 19,1 a 4,805
18,1,0,1,1,4.9,Administración,Decisión y apoyo,21,4,> 1 año,12,7,0.6,0,20 a 24,10 a 14,0
19,0,0,0,0,0,Administración,Decisión y apoyo,0,0,0,0,0,0,0,1 a 4,1 a 4,0
20,1,0,0,0,0,Administración,Decisión y apoyo,7.7,0,0,4,2,0.5,0,10 a 14,1 a 4,0
21,0,0,0,0,0,Administración,Decisión y apoyo,17.8,0,0,2,2,0.1,0,0,0,0
22,0,0,4,0,5.8,Administración,Decisión y apoyo,6.4,2,> 1 año,3,3,0.5,0,15 a 19,1 a 4,0
23,0,0,5,0,8.2,Administración,Decisión y apoyo,9.7,0,0,6,4,0.6,1,15 a 19,1 a 4,0
24,1,0,0,0,0,Administración,Decisión y apoyo,8.8,1,7 a 12,6,4,0.7,0,10 a 14,1 a 4,0
25,1,0,19,0,20.2,Administración,Decisión y apoyo,37.2,1,1 a 3,9,5,0.2,0,15 a 19,5 a 9,0
26,0,0,0,0,0,Administración,Decisión y apoyo,8.3,0,0,6,3,0.7,1,20 a 24,5 a 9,0
27,0,0,4,0,19.7,Administración,Decisión y apoyo,13,1,4 a 6,6,4,0.5,1,20 a 24,1 a 4,1153
28,0,0,1,0,0,Administración,Decisión y apoyo,6.1,1,7 a 12,5,4,0.8,1,5 a 9,1 a 4,0
29,1,0,1,0,5.9,Administración,Decisión y apoyo,8.1,0,0,2,1,0.2,0,20 a 24,1 a 4,877
30,1,0,1,0,0,Administración,Decisión y apoyo,10.3,1,> 1 año,6,5,0.6,1,5 a 9,1 a 4,0
31,1,0,1,0,5.7,Administración,Decisión y apoyo,5.8,0,0,3,3,0.5,1,10 a 14,1 a 4,0
32,1,0,1,1,4.3,Administración,Decisión y apoyo,27.3,0,0,2,1,0.1,1,5 a 9,1 a 4,0
33,0,0,0,0,0,Administración,Decisión y apoyo,16.4,3,> 1 año,6,5,0.4,1,15 a 19,1 a 4,401
34,1,0,0,0,0,Administración,Decisión y apoyo,8.1,0,0,5,1,0.6,1,5 a 9,1 a 4,0
35,0,0,3,0,9.8,Administración,Decisión y apoyo,20.3,0,0,7,4,0.3,1,20 a 24,0,0
36,1,0,0,0,0,Administración,Decisión y apoyo,8.7,0,0,4,3,0.5,0,20 a 24,10 a 14,744
37,0,0,3,0,18.8,Administración,Decisión y apoyo,8.6,1,7 a 12,7,5,0.8,1,10 a 14,1 a 4,0
38,0,0,1,0,12,Administración,Decisión y apoyo,15.7,1,7 a 12,9,8,0.6,0,25 o más,0,0
39,0,0,3,0,0,Administración,Decisión y apoyo,6.3,1,> 1 año,3,3,0.5,0,5 a 9,1 a 4,0
40,1,0,1,0,1.9,Administración,Decisión y apoyo,17.7,0,0,6,4,0.3,0,0,0,0
41,0,0,0,0,0,Administración,Decisión y apoyo,17.7,0,0,11,10,0.6,0,0,0,0
42,0,0,3,0,10.8,Administración,Decisión y apoyo,25.7,0,0,10,10,0.4,0,0,0,0
43,0,0,2,0,9.8,Administración,Decisión y apoyo,16.5,0,0,5,5,0.3,1,20 a 24,1 a 4,0
44,0,0,5,0,5.6,Administración,Decisión y apoyo,24.1,2,> 1 año,5,4,0.2,0,15 a 19,1 a 4,0
45,1,0,0,0,0,Administración,Decisión y apoyo,6.7,0,0,3,2,0.4,0,0,0,0
46,0,0,1,0,0,Administración,Decisión y apoyo,29.7,1,> 1 año,5,5,0.2,0,0,0,0
